,id,season,city,date,team_1,team_2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,venue,inning_1_score,inning_2_score,team_batting_first,team_batting_second
246,247,IPL-2011,Mumbai,2011-04-15,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,Kochi Tuskers Kerala,0,8,BB McCullum,Wankhede Stadium,182,184,Mumbai Indians,Kochi Tuskers Kerala
247,248,IPL-2011,Chennai,2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings,21,0,MEK Hussey,Chepauk,183,162,Chennai Super Kings,Royal Challengers Bangalore
248,249,IPL-2011,Hyderabad,2011-04-16,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,8,PC Valthaty,"RGIS, Uppal",165,166,Deccan Chargers,Kings XI Punjab
249,250,IPL-2011,Mumbai,2011-04-17,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,3,Yuvraj Singh,Dr DY Patil Sports Academy,187,190,Pune Warriors,Delhi Daredevils
250,251,IPL-2011,Kolkata,2011-04-17,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,8,L Balaji,Eden Gardens,81,85,Rajasthan Royals,Kolkata Knight Riders
252,253,IPL-2011,Delhi,2011-04-19,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Deccan Chargers,16,0,S Sohal,Feroz Shah Kotla,168,152,Deccan Chargers,Delhi Daredevils
254,255,IPL-2011,Kolkata,2011-04-20,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kochi Tuskers Kerala,6,0,DPMD Jayawardene,Eden Gardens,132,126,Kochi Tuskers Kerala,Kolkata Knight Riders
253,254,IPL-2011,Mumbai,2011-04-20,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,Mumbai Indians,0,7,MM Patel,Wankhede Stadium,118,124,Pune Warriors,Mumbai Indians
255,256,IPL-2011,Chandigarh,2011-04-21,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Kings XI Punjab,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",195,147,Kings XI Punjab,Rajasthan Royals
257,258,IPL-2011,Kolkata,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,9,CH Gayle,Eden Gardens,171,175,Kolkata Knight Riders,Royal Challengers Bangalore
256,257,IPL-2011,Mumbai,2011-04-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium,164,156,Mumbai Indians,Chennai Super Kings
258,259,IPL-2011,Delhi,2011-04-23,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Delhi Daredevils,29,0,DA Warner,Feroz Shah Kotla,231,202,Delhi Daredevils,Kings XI Punjab
260,261,IPL-2011,Jaipur,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,8,SK Warne,Sawai Mansingh Stadium,109,111,Kochi Tuskers Kerala,Rajasthan Royals
259,260,IPL-2011,Hyderabad,2011-04-24,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,Mumbai Indians,37,0,SL Malinga,"RGIS, Uppal",172,135,Mumbai Indians,Deccan Chargers
261,262,IPL-2011,Chennai,2011-04-25,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,Chennai Super Kings,25,0,MEK Hussey,Chepauk,142,117,Chennai Super Kings,Pune Warriors
262,263,IPL-2011,Delhi,2011-04-26,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla,160,161,Delhi Daredevils,Royal Challengers Bangalore
263,264,IPL-2011,Mumbai,2011-04-27,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,Chennai Super Kings,0,8,DE Bollinger,Dr DY Patil Sports Academy,141,145,Pune Warriors,Chennai Super Kings
264,265,IPL-2011,Kochi,2011-04-27,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,Deccan Chargers,55,0,I Sharma,Nehru Stadium,129,74,Deccan Chargers,Kochi Tuskers Kerala
265,266,IPL-2011,Delhi,2011-04-28,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,Kolkata Knight Riders,17,0,MK Tiwary,Feroz Shah Kotla,148,131,Kolkata Knight Riders,Delhi Daredevils
266,267,IPL-2011,Jaipur,2011-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium,94,95,Mumbai Indians,Rajasthan Royals
267,268,IPL-2011,Bangalore,2011-04-29,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium,181,155,Royal Challengers Bangalore,Pune Warriors
268,269,IPL-2011,Kochi,2011-04-30,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,normal,Delhi Daredevils,38,0,V Sehwag,Nehru Stadium,157,119,Delhi Daredevils,Kochi Tuskers Kerala
269,270,IPL-2011,Kolkata,2011-04-30,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens,119,120,Kings XI Punjab,Kolkata Knight Riders
278,279,IPL-2011,Hyderabad,2011-05-05,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,4,V Sehwag,"RGIS, Uppal",175,179,Deccan Chargers,Delhi Daredevils
277,278,IPL-2011,Kochi,2011-05-05,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium,156,139,Kochi Tuskers Kerala,Kolkata Knight Riders
289,290,IPL-2011,Indore,2011-05-13,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,KD Karthik,Holkar Cricket Stadium,178,181,Kochi Tuskers Kerala,Kings XI Punjab
291,292,IPL-2011,Mumbai,2011-05-14,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,Deccan Chargers,10,0,A Mishra,Wankhede Stadium,135,125,Deccan Chargers,Mumbai Indians
292,293,IPL-2011,Dharamsala,2011-05-15,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Kings XI Punjab,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,170,141,Kings XI Punjab,Delhi Daredevils
293,294,IPL-2011,Indore,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,Kochi Tuskers Kerala,0,8,BJ Hodge,Holkar Cricket Stadium,97,98,Rajasthan Royals,Kochi Tuskers Kerala
294,295,IPL-2011,Mumbai,2011-05-16,Pune Warriors,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,6,A Mishra,Dr DY Patil Sports Academy,136,138,Pune Warriors,Deccan Chargers
295,296,IPL-2011,Dharamsala,2011-05-17,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,Kings XI Punjab,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,232,121,Kings XI Punjab,Royal Challengers Bangalore
296,297,IPL-2011,Chennai,2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,normal,Chennai Super Kings,11,0,WP Saha,Chepauk,152,141,Chennai Super Kings,Kochi Tuskers Kerala
297,298,IPL-2011,Mumbai,2011-05-19,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,7,YK Pathan,Dr DY Patil Sports Academy,118,119,Pune Warriors,Kolkata Knight Riders
298,299,IPL-2011,Mumbai,2011-05-20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,Rajasthan Royals,0,10,SR Watson,Wankhede Stadium,133,134,Mumbai Indians,Rajasthan Royals
301,302,IPL-2011,Bangalore,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium,128,129,Chennai Super Kings,Royal Challengers Bangalore
302,303,IPL-2011,Kolkata,2011-05-22,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,5,JEC Franklin,Eden Gardens,175,178,Kolkata Knight Riders,Mumbai Indians
303,304,IPL-2011,Mumbai,2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,6,SK Raina,Wankhede Stadium,175,177,Royal Challengers Bangalore,Chennai Super Kings
304,305,IPL-2011,Mumbai,2011-05-25,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,4,MM Patel,Wankhede Stadium,147,148,Kolkata Knight Riders,Mumbai Indians
305,306,IPL-2011,Chennai,2011-05-27,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Royal Challengers Bangalore,43,0,CH Gayle,Chepauk,185,142,Royal Challengers Bangalore,Mumbai Indians
306,307,IPL-2011,Chennai,2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings,58,0,M Vijay,Chepauk,205,147,Chennai Super Kings,Royal Challengers Bangalore
279,280,IPL-2011,Bangalore,2011-06-05,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Royal Challengers Bangalore,85,0,CH Gayle,M Chinnaswamy Stadium,205,120,Royal Challengers Bangalore,Kings XI Punjab
281,282,IPL-2011,Mumbai,2011-07-05,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,32,0,AT Rayudu,Wankhede Stadium,178,146,Mumbai Indians,Delhi Daredevils
234,235,IPL-2011,Chennai,2011-08-04,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Chennai Super Kings,2,0,S Anirudha,Chepauk,153,151,Chennai Super Kings,Kolkata Knight Riders
282,283,IPL-2011,Bangalore,2011-08-05,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,Royal Challengers Bangalore,0,9,CH Gayle,M Chinnaswamy Stadium,125,128,Kochi Tuskers Kerala,Royal Challengers Bangalore
283,284,IPL-2011,Chandigarh,2011-08-05,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",119,120,Kings XI Punjab,Pune Warriors
236,237,IPL-2011,Kochi,2011-09-04,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,Royal Challengers Bangalore,0,6,AB de Villiers,Nehru Stadium,161,162,Kochi Tuskers Kerala,Royal Challengers Bangalore
235,236,IPL-2011,Hyderabad,2011-09-04,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,8,SK Trivedi,"RGIS, Uppal",137,141,Deccan Chargers,Rajasthan Royals
284,285,IPL-2011,Jaipur,2011-09-05,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium,196,133,Chennai Super Kings,Rajasthan Royals
