,player,total_runs,out,numberofballs,average,strikerate,wickets
43,NV Ojha,1555,74,1308,21.0135135135135,118.88379204893,0
44,Mandeep Singh,1535,71,1227,21.6197183098592,125.101874490628,0
45,DJ Bravo,1494,63,1155,23.7142857142857,129.350649350649,147
46,Q de Kock,1478,46,1109,32.1304347826087,133.273219116321,0
47,KK Nair,1465,61,1137,24.016393442623,128.847845206684,0
48,S Badrinath,1441,48,1210,30.0208333333333,119.090909090909,0
49,AD Russell,1415,41,752,34.5121951219512,188.164893617021,52
50,GJ Maxwell,1401,62,864,22.5967741935484,162.152777777778,15
51,BJ Hodge,1400,46,1117,30.4347826086956,125.335720680394,17
52,JC Buttler,1396,37,919,37.7297297297297,151.904243743199,0
53,SC Ganguly,1349,54,1261,24.9814814814815,106.978588421887,8
54,DJ Hussey,1322,48,1069,27.5416666666667,123.666978484565,8
55,KS Williamson,1309,34,964,38.5,135.788381742739,0
56,CA Lynn,1288,37,909,34.8108108108108,141.694169416942,0
57,SS Tiwary,1276,42,1064,30.3809523809524,119.924812030075,0
58,MA Agarwal,1269,67,988,18.9402985074627,128.441295546559,0
59,TM Dilshan,1153,41,1006,28.1219512195122,114.612326043738,5
60,IK Pathan,1150,52,948,22.1153846153846,121.308016877637,79
61,ML Hayden,1107,27,802,41,138.029925187032,0
62,N Rana,1093,40,808,27.325,135.272277227723,7
63,KM Jadhav,1087,46,851,23.6304347826087,127.732079905993,0
64,HH Pandya,1082,38,689,28.4736842105263,157.039187227866,42
65,LMP Simmons,1079,27,851,39.962962962963,126.792009400705,1
66,LRPL Taylor,1017,41,818,24.8048780487805,124.327628361858,0
67,M Vohra,1013,42,767,24.1190476190476,132.073011734029,0
68,KP Pietersen,1001,28,740,35.75,135.27027027027,7
69,AS Yadav,995,35,746,28.4285714285714,133.378016085791,0
70,Y Venugopal Rao,985,42,834,23.452380952381,118.10551558753,6
71,JA Morkel,975,40,682,24.375,142.961876832845,83
72,A Symonds,974,26,748,37.4615384615385,130.213903743316,20
73,CL White,971,35,760,27.7428571428571,127.763157894737,1
74,MC Henriques,969,35,756,27.6857142857143,128.174603174603,31
75,KH Pandya,897,32,609,28.03125,147.290640394089,39
76,HH Gibbs,886,32,802,27.6875,110.473815461347,0
77,STR Binny,880,44,683,20,128.843338213763,23
78,EJG Morgan,854,38,702,22.4736842105263,121.652421652422,0
79,Harbhajan Singh,831,56,597,14.8392857142857,139.195979899497,150
80,AR Patel,800,43,628,18.6046511627907,127.388535031847,70
81,MS Bisla,798,37,697,21.5675675675676,114.490674318508,0
82,SP Narine,785,40,458,19.625,171.397379912664,121
83,ST Jayasuriya,768,29,531,26.4827586206896,144.632768361582,13
84,RA Tripathi,761,27,553,28.1851851851852,137.613019891501,0
85,Shakib Al Hasan,750,34,588,22.0588235294118,127.551020408163,58
86,GC Smith,739,30,666,24.6333333333333,110.960960960961,0
87,AD Mathews,724,31,573,23.3548387096774,126.352530541012,27
88,Ishan Kishan,701,31,531,22.6129032258064,132.015065913371,0
89,TL Suman,676,30,573,22.5333333333333,117.975567190227,6
90,AM Nayar,672,39,574,17.2307692307692,117.073170731707,9
91,GJ Bailey,663,29,543,22.8620689655172,122.099447513812,0
92,BA Stokes,641,30,481,21.3666666666667,133.264033264033,26
93,SA Yadav,608,29,465,20.9655172413793,130.752688172043,0
94,JD Ryder,604,29,456,20.8275862068966,132.456140350877,8
95,P Shaw,604,24,423,25.1666666666667,142.789598108747,0
96,PP Chawla,584,50,519,11.68,112.52408477842,141
97,HM Amla,577,13,407,44.3846153846154,141.769041769042,0
98,V Shankar,563,17,416,33.1176470588235,135.336538461538,2
99,CJ Anderson,538,22,423,24.4545454545455,127.186761229314,11
100,RS Bopara,531,19,452,27.9473684210526,117.477876106195,10
101,JP Faulkner,527,28,387,18.8214285714286,136.175710594315,61
102,DJ Hooda,526,33,413,15.9393939393939,127.360774818402,6
103,CH Morris,519,20,327,25.95,158.715596330275,69
104,M Manhas,514,24,469,21.4166666666667,109.594882729211,0
105,S Gill,510,14,377,36.4285714285714,135.278514588859,0
106,OA Shah,506,13,386,38.9230769230769,131.088082901554,0
107,PC Valthaty,505,22,415,22.9545454545455,121.686746987952,6
108,MP Stoinis,476,15,362,31.7333333333333,131.491712707182,15
109,J Bairstow,459,8,284,57.375,161.619718309859,0
