player,total_runs,out,numberofballs,average,strikerate
B Laughlin,5,2,13,2.5,38.4615384615385
DP Nannes,4,1,13,4,30.7692307692308
A Uniyal,4,1,7,4,57.1428571428571
FH Edwards,4,1,5,4,80
A Chandila,4,1,7,4,57.1428571428571
A Dananjaya,4,0,5,,80
CRD Fernando,4,1,3,4,133.333333333333
GD McGrath,4,1,5,4,80
M Ashwin,4,3,8,1.33333333333333,50
H Vihari,4,2,8,2,50
Avesh Khan,4,0,3,,133.333333333333
RS Sodhi,4,0,2,,200
VRV Singh,4,1,2,4,200
CJ Jordan,3,1,5,3,60
S Tyagi,3,0,4,,75
A Turner,3,3,10,1,30
R Ninan,3,1,6,3,50
D Kalyankrishna,3,1,7,3,42.8571428571429
JE Taylor,3,0,3,,100
H Viljoen,3,2,5,1.5,60
BAW Mendis,3,2,6,1.5,50
Mohammad Asif,3,2,6,1.5,50
Kamran Khan,3,1,5,3,60
Younis Khan,3,1,7,3,42.8571428571429
KP Appanna,2,1,3,2,66.6666666666667
RS Gavaskar,2,1,8,2,25
SB Wagh,2,2,3,1,66.6666666666667
Mohammad Ashraful,2,1,10,2,20
Mashrafe Mortaza,2,0,2,,100
S Randiv,2,1,4,2,50
Shoaib Akhtar,2,1,7,2,28.5714285714286
RG More,2,0,2,,100
A Singh,2,4,10,0.5,20
VS Yeligati,2,1,2,2,100
H Das,2,1,5,2,40
SE Bond,1,1,2,1,50
PM Sarvesh Kumar,1,0,2,,50
Shoaib Ahmed,1,2,6,0.5,16.6666666666667
Mustafizur Rahman,1,1,3,1,33.3333333333333
LH Ferguson,1,0,1,,100
H Gurney,1,0,5,,20
L Plunkett,1,1,3,1,33.3333333333333
BE Hendricks,1,1,3,1,33.3333333333333
P Parameswaran,1,0,2,,50
DP Vijaykumar,1,0,1,,100
DJ Muthuswami,1,1,3,1,33.3333333333333
M Wood,1,1,3,1,33.3333333333333
NJ Rimmington,1,0,1,,100
P Krishna,1,1,7,1,14.2857142857143
M de Lange,1,1,2,1,50
K Ahmed,0,1,1,0,0
C Nanda,0,1,1,0,0
YA Abdulla,0,0,1,,0
U Kaul,0,0,1,,0
P Raj,0,0,1,,0
S Lamichhane,0,1,1,0,0
RR Bhatkal,0,2,2,0,0
IC Pandey,0,1,2,0,0
L Ablish,0,0,2,,0
Abdur Razzak,0,0,2,,0
Sunny Gupta,0,1,1,0,0
ND Doshi,0,1,13,0,0
J Denly,0,1,1,0,0
S Ladda,0,2,9,0,0
V Pratap Singh,0,1,1,0,0
S Kaushik,0,1,1,0,0
